Name,CVS_Price,Min_Price,Ratio,Min_Pharmacy
Aluminum,23.97,4.87,4.92,Walgreens
Amlodipine,15.42,2.00,7.71,Publix
Atorvastatin,15.87,4.09,3.88,Publix
Azelastine,19.17,4.01,4.78,Publix
Azithromycin,15.74,2.00,7.87,Publix
Bactrim,19.57,2.46,7.96,Publix
Calcium,30.91,5.74,5.39,Publix
Clotrimazole,18.08,6.14,2.94,Walgreens
Duloxetine,16.74,4.32,3.87,Publix
Escitalopram,16.00,7.01,2.28,Sams Club
Esomeprazole,16.74,3.55,4.72,Walmart
Hydrocortisone,22.72,9.53,2.38,Publix
Ibuprofen,20.23,3.11,6.50,Publix
Lansoprazole,17.22,4.18,4.12,Walgreens
Losartan,14.63,2.00,7.32,Sams Club
Minoxidil,20.23,2.00,10.12,Walgreens
Naproxen,20.48,6.02,3.40,Publix
Omeprazole,20.23,5.17,3.91,Walmart
Pantoprazole,28.37,9.87,2.87,Sams Club
Sertraline,19.87,4.84,4.11,Sams Club
Sildenafil,15.74,4.60,3.42,Walmart
Vitamin,22.70,2.00,11.35,Walgreens
